A00;Kolera
I71.5;Anevrizma prsne in trebušne aorte, z rupturo
I71.6;Anevrizma prsne in trebušne aorte, ruptura ni omenjena
I71.8;Anevrizma aorte neopredeljene lokalizacije, z rupturo
I71.9;Anevrizma aorte neopredeljene lokalizacije, ruptura ni omenjena
I72;Druge anevrizme
I72.0;Anevrizma karotidne arterije
I72.1;Anevrizma arterije zgornjega uda
I72.2;Anevrizma ledviène arterije
I72.3;Anevrizma iliakalne arterije
I72.4;Anevrizma arterije spodnjega uda
I72.8;Anevrizma drugih opredeljenih arterij
I72.9;Anevrizma neopredeljene lokalizacije
I73;Druge periferne žilne bolezni
I73.0;Raynaudov sindrom
I73.1;Obliterantni tromboangiitis [Buergerjeva bolezen]
I73.8;Druge opredeljene periferne žilne bolezni
I73.9;Periferne žilne bolezni, neopredeljene
I74;Arterijska embolija in tromboza
I74.0;Embolija in tromboza abdominalne aorte
I74.1;Embolija in tromboza drugih in neopredeljenih delov aorte
I74.2;Embolija in tromboza arterij zgornjih udov
I74.3;Embolija in tromboza arterij spodnjih udov
I74.4;Embolija in tromboza arterij udov, neopredeljena
I74.5;Embolija in tromboza iliakalne arterije
I74.8;Embolija in tromboza drugih arterij
I74.9;Embolija in tromboza neopredeljene arterije
I77;Druge bolezni arterij in arteriol
I77.0;Arteriovenska fistula, pridobljena
I77.1;Striktura (zožitev) arterije
I77.2;Ruptura arterije
I77.3;Arterijska fibromuskularna displazija
I77.4;Kompresijski sindrom celiakalne arterije
I77.5;Nekroza arterije
I77.6;Arteritis, neopredeljen
I77.8;Druge opredeljene motnje arterij in arteriol
I77.9;Motnja arterij in arteriol, neopredeljena
I78;Bolezni kapilar
I78.0;Prirojena hemoragièna telangiektazija
I78.1;Nevus, neneoplastièni 
I78.8;Druge bolezni kapilar
I78.9;Bolezen kapilar, neopredeljena
I79;Motnje arterij, arteriol in kapilar pri boleznih, uvršèenih drugje
I79.0;Anevrizma aorte pri boleznih, uvršèenih drugje
I79.1;Aortitis pri boleznih, uvršèenih drugje
I79.2;Periferna angiopatija pri boleznih, uvršèenih drugje
I79.8;Druge motnje arterij, arteriol in kapilar pri boleznih, uvršèenih drugje
I80;Flebitis in tromboflebitis
I80.0;Flebitis in tromboflebitis povrhnjih ven spodnjih udov
I80.1;Flebitis in tromboflebitis femoralne vene 
I80.2;Flebitis in tromboflebitis drugih globokih žil spodnjih udov 
I80.3;Flebitis in tromboflebitis spodnjih udov, neopredeljen
I80.8;Flebitis in tromboflebitis drugih mest
I80.9;Flebitis in tromboflebitis neopredeljenega mesta
I81;Tromboza vene porte
I82;Druge vrste venska embolija in tromboza
I82.0;Budd-Chiarijev sindrom
I82.1;Migrantni tromboflebitis
I82.2;Embolija in tromboza vene kave
I82.3;Embolija in tromboza ledviène vene
I82.8;Embolija in tromboza drugih opredeljenih ven
I82.9;Embolija in tromboza neopredeljene vene
I83;Varice (krène žile) ven spodnjih udov
I83.0;Varice ven spodnjih udov z ulkusom 
I83.1;Varice ven spodnjih udov z vnetjem  
I83.2;Varice ven spodnjih udov z ulkusom in vnetjem
I83.9;Varice ven spodnjih udov brez ulkusa ali vnetja
I84;Hemoroidi
I84.0;Notranji trombozirani hemoroidi
I84.1;Notranji hemoroidi z drugimi zapleti
I84.2;Notranji hemoroidi brez zapletov
I84.3;Zunanji trombozirani hemoroidi
I84.4;Zunanji hemoroidi z drugimi zapleti
I84.5;Zunanji hemoroidi brez zapletov
I84.6;Residualne hemoroidalne kožne gube
I84.7;Neopredeljeni trombozirani hemoroidi
I84.8;Neopredeljeni hemoroidi z drugimi zapleti
I84.9;Neopredeljeni hemoroidi brez zapletov
I85;Varice požiralnika
I85.0;Krvaveèe varice požiralnika
I85.9;Varice požiralnika brez krvavitve
I86;Varice ven drugih mest
I86.0;Sublingvalne varice
I86.1;Varice skrotuma
I86.2;Pelviène varice
I86.3;Vaginalne varice
I86.4;Želodène varice
I86.8;Varice ven drugih opredeljenih lokalizacij
I87;Druge motnje ven
I87.0;Postflebitièni sindrom
I87.1;Kompresija vene
I87.2;Venska insuficienca (kronièna) (periferna)
I87.8;Druge opredeljene motnje ven
I87.9;Motnja ven, neopredeljena
I88;Nespecifièno vnetje bezgavk (limfadenitis)
I88.0;Nespecifièni mezenterijski limfadenitis
I88.1;Kronièni limfadenitis, razen mezenterijski
I88.8;Druge vrste nespecifièni limfadenitis
I88.9;Nespecifièni limfadenitis, neopredeljen
I89;Druge neinfektivne motnje limfnih žil (mezgovnic) in bezgavk
I89.0;Limfedem, ki ni uvršèen drugje
I89.1;Vnetje limfnih žil (limfangitis)
I89.8;Druge opredeljene neinfektivne motnje limfnih žil in bezgavk
I89.9;Neinfektivna motnja limfnih žil in bezgavk, neopredeljena
I95;Hipotenzija
I95.0;Idiopatska hipotenzija
I95.1;Ortostatska hipotenzija
I95.2;Hipotenzija zaradi zdravil
I95.8;Druge vrste hipotenzija 
I95.9;Hipotenzija, neopredeljena
I97;Motnje obtoèil po invazivnih posegih, ki niso uvršèene drugje
I97.0;Postkardiotomijski sindrom
I97.1;Druge funkcijske motnje po kirurškem posegu na srcu
I97.2;Postmastektomijski limfedemski sindrom
I97.8;Druge motnje cirkulacijskega sistema po posegih, ki niso uvršèene drugje
I97.9;Motnja cirkulacijskega sistema po posegu, neopredeljena
I98;Druge motnje obtoèil pri boleznih, uvršèenih drugje
I98.0;Kardiovaskularni sifilis
I98.1;Kardiovaskularne motnje pri drugih infekcijskih ter parazitskih boleznih, uvršèenih drugje
I98.2;Varice požiralnika pri boleznih, uvršèenih drugje
I98.3;Ezofagealne varice s krvavitvijo pri boleznih, ki so klasificirane drugje
I98.8;Druge opredeljene motnje cirkulacijskega sistema pri boleznih, uvršèenih drugje
I99;Druge in neopredeljene motnje obtoèil  
J00;Akutni nazofaringitis [navadni prehlad]
J01;Akutni sinuzitis
J01.0;Akutni maksilarni sinuzitis
J01.1;Akutni frontalni sinuzitis
J01.2;Akutni etmoidalni sinuzitis
J01.3;Akutni sfenoidalni sinuzitis
J01.4;Akutni pansinuzitis
J01.8;Druge vrste akutni sinuzitis
J01.9;Akutni sinuzitis, neopredeljen
J02;Akutni faringitis
J02.0;Streptokokni faringitis
J02.8;Akutni faringitis povzroèen z drugimi, opredeljenimi povzroèitelji
J02.9;Akutni faringitis, neopredeljen
J03;Akutni tonzilitis
J03.0;Streptokokni tonzilitis
J03.8;Akutni tonzilitis, povzroèen z drugimi opredeljenimi organizmi
J03.9;Akutni tonzilitis, neopredeljen
J04;Akutni laringitis in traheitis
J04.0;Akutni laringitis
J04.1;Akutni traheitis
J04.2;Akutni laringotraheitis
J05;Akutni obstruktivni laringitis [croup] in epiglotitis
J05.0;Akutni obstruktivni laringitis [croup, krup]
J05.1;Akutni epiglotitis
J06;Akutna infekcija zgornjih dihal na veè neopredeljenih mestih
J06.0;Akutni laringofaringitis
J06.8;Druge vrste akutna infekcija zgornjih dihal na veè mestih
J06.9;Akutna infekcija zgornjih dihal, neopredeljena
J09;Gripa z virusom ptièje gripe
J10;Gripa, dokazano povzroèena z virusom influence
J10.0;Gripa s pljuènico, virus influence dokazan
J10.1;Gripa z drugimi manifestacijami na dihalih, virus influence dokazan
J10.8;Gripa z drugimi manifestacijami, virus influence dokazan
J11;Gripa, virus ni dokazan
J11.0;Gripa s pljuènico, virus ni dokazan
J11.1;Gripa z drugimi manifestacijami na dihalih, virus ni dokazan
J11.8;Gripa z drugimi manifestacijami, virus ni dokazan
J12;Virusna pljuènica, ki ni uvršèena drugje
J12.0;Adenovirusna pljuènica
J12.1;Pljuènica, povzroèena z respiratornim sincicijskim virusom
J12.2;Pljuènica, povzroèena z virusom parainfluence
J12.8;Druge virusne pljuènice
J12.9;Virusna pljuènica, neopredeljena
J13;Pljuènica, ki jo povzroèa Streptoccocus pneumoniae
J14;Pljuènica, ki jo povzroèa Haemophilus influenzae
J15;Bakterijska pljuènica, ki ni uvršèena drugje
J15.0;Pljuènica, ki jo povzroèa Klebsiella pneumoniae
J15.1;Pljuènica, ki jo povzroèa Pseudomonas
J15.2;Pljuènica, povzroèena s stafilokoki
J15.3;Pljuènica, povzroèena s streptokokom skupine B
J15.4;Pljuènica, povzroèena z drugimi streptokoki
J15.5;Pljuènica, ki jo povzroèa Escherichia coli
J15.6;Pljuènica, ki jo povzroèajo druge po Gramu negativne bakterije
J15.7;Pljuènica, ki jo povzroèa Mycoplasma pneumoniae
J15.8;Druge bakterijske pljuènice
J15.9;Bakterijska pljuènica, neopredeljena
J16;Pljuènica zaradi drugih povzroèiteljev, ki ni uvršèena drugje
J16.0;Pljuènica, ki jo povzroèajo klamidije
J16.8;Pljuènica, povzroèena z drugimi opredeljenimi povzroèitelji
J17;Pljuènica pri boleznih, uvršèenih drugje
J17.0;Pljuènica pri bakterijskih boleznih, uvršèenih drugje
J17.1;Pljuènica pri virusnih boleznih, uvršèenih drugje
J17.2;Pljuènica pri mikozah
J17.3;Pljuènica pri boleznih, povzroèenih s paraziti
J17.8;Pljuènica pri drugih boleznih, uvršèenih drugje
J18;Pljuènica, povzroèitelj ni opredeljen
J18.0;Bronhopnevmonija, neopredeljena
J18.1;Lobarna (reženjska) pljuènica, neopredeljena
J18.2;Zastojna pljuènica, neopredeljena
J18.8;Druge vrste pljuènica, povzroèitelj neopredeljen
J18.9;Pljuènica, neopredeljena
J20;Akutni bronhitis
J20.0;Akutni bronhitis, ki ga povzroèa Mycoplasma pneumoniae
J20.1;Akutni bronhitis, ki ga povzroèa Haemophilus influenzae
J20.2;Akutni bronhitis, ki ga povzroèajo streptokoki
J20.3;Akutni bronhitis, ki ga povzroèa virus Coxsackie
J20.4;Akutni bronhitis, ki ga povzroèa virus parainfluence
J20.5;Akutni bronhitis, ki ga povzroèa respiratorni sincicijski virus
J20.6;Akutni bronhitis, ki ga povzroèa rinovirus
J20.7;Akutni bronhitis, ki ga povzroèa ehovirus
J20.8;Akutni bronhitis, ki ga povzroèajo drugi opredeljeni mikroorganizmi
J20.9;Akutni bronhitis, neopredeljen
J21;Akutni bronhiolitis
J21.0;Akutni bronhiolitis, ki ga povzroèa respiratorni sincicijski virus
J21.8;Akutni bronhiolitis, ki ga povzroèajo drugi opredeljeni mikroorganizmi
J21.9;Akutni bronhiolitis, neopredeljen
J22;Neopredeljena akutna infekcija spodnjih dihal
J30;Vazomotorni in alergijski rinitis
J30.0;Vazomotorni rinitis
J30.1;Alergijski rinitis zaradi peloda
J30.2;Druge vrste sezonski alergijski rinitis
J30.3;Druge vrste alergijski rinitis
J30.4;Alergijski rinitis, neopredeljen
J31;Kronièni rinitis, nazofaringitis in faringitis
J31.0;Kronièni rinitis
J31.1;Kronièni nazofaringitis
J31.2;Kronièni faringitis
J32;Kronièni sinuzitis
J32.0;Kronièni maksilarni sinuzitis
J32.1;Kronièni frontalni sinuzitis
J32.2;Kronièni etmoidalni sinuzitis
J32.3;Kronièni sfenoidalni sinuzitis
J32.4;Kronièni pansinuzitis
J32.8;Druge vrste kronièni sinuzitis
J32.9;Kronièni sinuzitis, neopredeljen
J33;Nosni polip
J33.0;Polip v nosni votlini
J33.1;Polipoidna degeneracija sinusov
J33.8;Drugi polipi v sinusih
J33.9;Nosni polip, neopredeljen
J34;Druge bolezni v nosu in paranazalnih (akcesornih, obnosnih) sinusih
J34.0;Absces, furunkel in karbunkel v nosu
J34.1;Cista in mukokela nosu in paranazalnega sinusa
J34.2;Deviacija nosnega pretina
J34.3;Hipertrofija nosnih školjk
J34.8;Druge opredeljene bolezni nosu in paranazalnih sinusov
J35;Kroniène bolezni tonzil in žrelnice
J35.0;Kronièni tonzilitis
J35.1;Hipertrofija tonzil
J35.2;Hipertrofija žrelnice
J35.3;Hipertrofija tonzil in žrelnice
J35.8;Druge kroniène bolezni tonzil in žrelnice 
J35.9;Kronièna bolezen tonzil in žrelnice, neopredeljena
J36;Peritonzilarni absces
J37;Kronièni laringitis in laringotraheitis
J37.0;Kronièni laringitis
J37.1;Kronièni laringotraheitis
J38;Bolezni glasilk in larinksa, ki niso uvršèene drugje
J38.0;Paraliza glasilk in larinksa
J38.00;Paraliza glasilk in larinksa, neopredeljena
J38.01;Paraliza glasilk in larinksa, enostranska, delna 
J38.02;Paraliza glasilk in larinksa, enostranska, kompletna
J38.03;Paraliza glasilk in larinksa, obojestranska, nekompletna
J38.04;Paraliza glasilk in larinksa, obojestranska, kompletna
J38.1;Polip glasilk in grla
J38.2;Vozlièi glasilk
J38.3;Druge bolezni glasilk
J38.4;Edem larinksa
J38.5;Laringospazem
J38.6;Stenoza larinksa
J38.7;Druge bolezni larinksa
J39;Druge bolezni zgornjih dihal
J39.0;Retrofaringealni in parafaringealni absces
J39.1;Drugi abscesi farinksa
J39.2;Druge bolezni farinksa
J39.3;Preobèutljivostna reakcija v zgornjih dihalih, mesto ni opredeljeno
J39.8;Druge, opredeljene bolezni zgornjih dihal
J39.9;Bolezen zgornjih dihal, neopredeljena
J40;Bronhitis, ki ni opredeljen kot akutni ali kronièni
J41;Navadni in mukopurulentni kronièni bronhitis
J41.0;Navadni kronièni bronhitis
J41.1;Mukopurulentni kronièni bronhitis
J41.8;Mešani navadni in mukopurulentni bronhitis
J42;Neopredeljeni kronièni bronhitis
J43;Emfizem
J43.0;MacLeodov sindrom
J43.1;Panlobularni emfizem
J43.2;Centrilobularni emfizem
J43.8;Druge vrste emfizem
J43.9;Emfizem, neopredeljen
J44;Druge vrste kronièna obstruktivna bolezen pljuè
J44.0;Kronièna obstruktivna pljuèna bolezen z akutno infekcijo spodnjih dihal
J44.1;Kronièna obstruktivna pljuèna bolezen v akutni ekzacerbaciji (zagonu), neopredeljena
J44.8;Druge vrste, opredeljena kronièna obstruktivna bolezen pljuè
J44.9;Kronièna obstruktivna pljuèna bolezen, neopredeljena
J45;Astma
J45.0;Pretežno alergijska astma
J45.1;Nealergijska astma
J45.8;Mešana astma
J45.9;Astma, neopredeljena
J46;Status asthmaticus (astmatski status)
J47;Bronhiektazija 
J60;Pnevmokonioza rudarjev premoga
J61;Pnevmokonioza zaradi azbesta in drugih mineralnih vlaken
J62;Pnevmokonioza zaradi izpostavljenosti prahu, ki vsebuje silicij
J62.0;Talkoza
J62.8;Pnevmokonioza zaradi drugega prahu, ki vsebuje silicij
J63;Pnevmokonioze zaradi drugega neorganskega prahu
J63.0;Aluminoza (pljuè)
J63.1;Boksitoza (fibroza pljuè zaradi vdihavanja boksita)
J63.2;Berilioza
J63.3;Fibroza (pljuè) zaradi vdihavanja grafita
J63.4;Sideroza
J63.5;Stanoza
J63.8;Pnevmokonioza zaradi drugih opredeljenih neorganskih prahov
J64;Neopredeljena pnevmokonioza
J65;Pnevmokonioza, povezana s tuberkulozo
J66;Bolezen dihalnih poti zaradi znanega organskega prahu
J66.0;Bisinoza
J66.1;Bolezen predelovalcev lanu
J66.2;Bolezen predelovalcev konoplje
J66.8;Bolezen dihal zaradi vdihavanja drugega, opredeljenega organskega prahu
J67;Hipersenzitivni pnevmonitis zaradi vdihavanja organskega prahu
J67.0;Pljuèa poljedelcev
J67.1;Bagasoza
J67.2;Pljuèa rejcev ptic
J67.3;Suberoza
J67.4;Pljuèa (bolezen) predelovalcev slada
J67.5;Bolezen sušilcev gob
J67.6;Bolezen lupilcev javorjevega lubja
J67.7;Bolezen zaradi vlažilcev zraka ali umetnega vzdrževanja vlažnosti in temperature (air-condition)
J67.8;Hipersenzitivni pnevmonitis zaradi vdihavanja drugih organskih prahov
J67.9;Hipersenzitivni pnevmonitis zaradi vdihavanja neopredeljenega organskega prahu
J68;Okvare dihal zaradi vdihavanja kemikalij, plinov, dima in par
J68.0;Bronhitis in pnevmonitis zaradi vdihavanja kemikalij, plinov, dima in par
J68.1;Akutni pljuèni edem zaradi vdihavanja kemikalij, plinov, dima in par
J68.2;Vnetje zgornjih dihal zaradi vdihavanja kemikalij, plinov, dima in par, ki ni uvršèeno drugje 
J68.3;Druga akutna in subakutna stanja dihal zaradi vdihavanja kemikalij, plinov, dima in par
J68.4;Kronièna stanja dihal zaradi vdihavanja kemikalij, plinov, dima in par
J68.8;Druga stanja dihal zaradi vdihavanja kemikalij, plinov, dima in par
J68.9;Neopredeljena stanja dihal zaradi vdihavanja kemikalij, plinov, dima in par
J69;Pnevmonitis zaradi aspiracije trdnih snovi in tekoèin
J69.0;Pnevmonitis zaradi vdihnjenja hrane ali izbljuvkov
J69.1;Pnevmonitis zaradi vdihnjenja (aspiracije) olj in esenc
J69.8;Pnevmonitis zaradi vdihnjenja (aspiracije) drugih trdnih snovi in tekoèin
J70;Stanja dihal zaradi delovanja drugih zunanjih dejavnikov
J70.0;Akutne manifestacije na dihalih zaradi sevanja
J70.1;Kroniène in ostale manifestacije zaradi sevanja
J70.2;Akutne spremembe intersticija, povzroèene z zdravili
J70.3;Kroniène spremembe intersticija, povzroèene z zdravili
J70.4;Spremembe v intersticiju zaradi zdravil, neopredeljene
J70.8;Stanja dihal zaradi drugih zunanjih dejavnikov
J70.9;Stanja dihal zaradi neopredeljenih zunanjih dejavnikov
J80;Sindrom dihalne stiske (respiratornega distresa) pri odraslem 
J81;Pljuèni edem
J82;Pljuèna eozinofilija, ki ni uvršèena drugje
J84;Druge bolezni pljuènega intersticija
J84.0;Bolezni, ki prizadenejo alveole in obalveolje
J84.1;Druge bolezni pljuènega intersticija s fibrozo
J84.8;Druge opredeljene bolezni pljuènega intersticija
J84.9;Bolezen pljuènega intersticija, neopredeljena
J85;Absces pljuè in mediastinuma
J85.0;Gangrena in nekroza pljuè
J85.1;Pljuèni absces s pljuènico
J85.2;Pljuèni absces brez pljuènice
J85.3;Absces mediastinuma
J86;Piotoraks
J86.0;Piotoraks s fistulo
J86.9;Piotoraks brez fistule
J90;Plevralni izliv, ki ni uvršèen drugje
J91;Plevralni izliv pri stanjih, uvršèenih drugje
J92;Plevralni plak
J92.0;Plevralni plak s prisotnostjo azbesta
J92.9;Plevralni plak brez prisotnosti azbesta
J93;Pnevmotoraks
J93.0;Spontani tenzijski pnevmotoraks
J93.1;Drugi spontani pnevmotoraks
J93.8;Druge vrste pnevmotoraks
J93.9;Pnevmotoraks, neopredeljen
J94;Druge prizadetosti plevre
J94.0;Hilozni izliv
J94.1;Fibrotoraks
J94.2;Hemotoraks
J94.8;Druga opredeljena prizadetost plevre
J94.9;Prizadetost plevre, neopredeljena
J95;Prizadetost dihal po posegih, ki ni uvršèena drugje
J95.0;Motnje delovanja traheostome
J95.1;Akutna ventilacijska insuficienca po torakalnem kirurškem posegu
J95.2;Akutna ventilacijska insuficienca po netorakalnem kirurškem posegu
J95.3;Kronièna ventilacijska insuficienca po kirurškem posegu
J95.4;Mendelsonov sindrom
J95.5;Subglotisna stenoza po posegu
J95.8;Druge poškodbe dihal zaradi posegov 
J95.9;Poškodba dihal po posegu, neopredeljena
J96;Respiratorna odpoved, ki ni uvršèena drugje
J96.0;Akutna respiratorna odpoved
J96.1;Kronièna respiratorna odpoved
J96.9;Respiratorna odpoved, neopredeljena
J98;Druga bolezenska stanja dihal
J98.0;Bolezni bronhijev, ki niso uvršèene drugje
J98.1;Kolaps pljuè
J98.2;Intersticijski emfizem
J98.3;Kompenzatorni emfizem
J98.4;Druge bolezni pljuè
J98.5;Bolezni mediastinuma, ki niso uvršèene drugje
J98.6;Bolezni prepone (diafragme)
J98.8;Druge opredeljene bolezni dihal 
J98.9;Bolezen dihal, neopredeljena
J99;Spremembe na dihalih pri boleznih, uvršèenih drugje
J99.1;Posledice na dihalih pri drugih difuznih boleznih vezivnega tkiva
J99.8;Prizadetost dihal pri boleznih, uvršèenih drugje
K00;Nepravilnosti v razvoju in izrašèanju zob
K00.0;Anodontija
K00.1;Nadštevilni zobje
K00.2;Nepravilnosti v velikosti in obliki zob
K00.3;Lisavost zob
K00.4;Motnje v nastajanju zoba
K00.5;Dedne motnje v zgradbi zoba, ki niso uvršèene drugje
K00.6;Motnje pri izrašèanju zob
K00.7;Sindrom denticije
K00.8;Druge nepravilnosti v razvoju zoba
K00.9;Razvojne nepravilnosti zob, neopredeljene
K01;Retinirani in impaktirani zobje
K01.0;Retinirani zobje
K01.1;Impaktirani zobje
K02;Zobni karies
K02.0;Karies, omejen na sklenino
K02.1;Dentinski karies
K02.2;Cementni karies
K02.3;Ustavljeni zobni karies
K02.4;Odontoclasia
K02.8;Druge vrste zobni karies
K02.9;Zobni karies, neopredeljen
K03;Druge bolezni trdih zobnih tkiv
K03.0;Prekomerna atricija zob
K03.1;Abrazija zob
K03.2;Erozija zob
K03.3;Bolezenska resorpcija zob
K03.4;Hipercementoza
K03.5;Ankiloza zob
K03.6;Zobne obloge
K03.7;Sprememba barve trdih zobnih tkiv po izrasti zoba
K03.8;Druge opredeljene bolezni trdih zobnih tkiv
K03.9;Bolezni trdih zobnih tkiv, neopredeljene
K04;Bolezni pulpe in periapikalnih tkiv
K04.0;Pulpitis
K04.1;Nekroza pulpe
K04.2;Degeneracija pulpe
K04.3;Nenormalna tvorba trdih tkiv v pulpi
K04.4;Akutni apikalni parodontitis pulpnega izvora
K04.5;Kronièni apikalni parodontitis
K04.6;Periapikalni absces s fistulo
K04.7;Periapikalni absces brez fistule
K04.8;Radikularna cista
K04.9;Druge opredeljene in neopredeljene bolezni pulpe in periapikalnih tkiv
K05;Gingivitis in bolezni parodoncija
K05.0;Akutni gingivitis
K05.1;Kronièni gingivitis
K05.2;Akutni parodontitis
K05.3;Kronièni parodontitis
K05.4;Parodontoza
K05.5;Druge bolezni parodoncija
K05.6;Bolezni parodoncija, neopredeljene
K06;Druge nepravilnosti dlesen in brezzobega èeljustnega grebena
K06.0;Zmanjšanje dlesen
K06.1;Poveèanje dlesen
K06.2;Okvare dlesen in brezzobega èeljustnega grebena, povezane s poškodbo
K06.8;Druge opredeljene nepravilnosti dlesen in brezzobega èeljustnega grebena
K06.9;Nepravilnosti dlesen in brezzobega èeljustnega grebena, neopredeljene
K07;Zobnoobrazne (dentofacialne) anomalije [vkljuèno z nepravilnostmi griza (malokluzijo)]
K07.0;Veèje velikostne anomalije èeljusti
K07.1;Anomalije razmerja med èeljustmi in lobanjsko bazo
K07.2;Anomalije razmerja zobnih lokov
K07.3;Anomalije položaja zob
K07.4;Nepravilnosti griza, neopredeljene
K07.5;Dentofacialne funkcijske nepravilnosti
K07.6;Nepravilnosti èeljustnega sklepa
K07.8;Druge vrste dentofacialnih anomalij
K07.9;Dentofacialna anomalija, neopredeljena
K08;Druge nepravilnosti v zvezi z zobmi in opornimi strukturami
K08.0;Eksfoliacija zob zaradi sistemskih vzrokov
K08.1;Izguba zob zaradi poškodbe, ekstrakcije ali omejene parodontalne bolezni
K08.2;Atrofija brezzobega èeljustnega grebena
K08.3;Preostala zobna korenina
K08.8;Druge opredeljene nepravilnosti zob in opornih struktur
K08.81;Patološki zlom zoba
K08.88;Druge opredeljene nepravilnosti zob in opornih struktur
K08.9;Nepravilnost zob in opornih struktur, neopredeljena
K09;Ciste ustnega podroèja, ki niso uvršèene drugje
K09.0;Odontogene razvojne ciste
K09.1;Razvojne neodontogene ciste ustnega podroèja
K09.2;Druge ciste v èeljustnih kosteh
K09.8;Druge ciste ustnega podroèja, ki niso uvršèene drugje
K09.9;Cista ustnega podroèja, neopredeljena
K10;Druge bolezni èeljusti
K10.0;Razvojne nepravilnosti èeljusti
K10.1;Gigantocelularni granulom, centralni
K10.2;Vnetne spremembe na èeljustnih kosteh
K10.3;Alveolitis èeljustnih kosti
K10.8;Druge opredeljene bolezni èeljusti
K10.9;Bolezen èeljusti, neopredeljena
K11;Bolezni žlez slinavk
K11.0;Atrofija žlez slinavk
K11.1;Hipertofija žlez slinavk
K11.2;Vnetje žlez slinavk
K11.3;Absces žleze slinavke
K11.4;Fistula žleze slinavke
K11.5;Sialolitiaza
K11.6;Mukokela žleze slinavke
K11.7;Motnje v izloèanju sline
K11.8;Druge opredeljene bolezni žlez slinavk
K11.9;Bolezen žlez slinavk, neopredeljena
K12;Stomatitis in spremljajoèe spremembe
K12.0;Ponavljajoèe se ustne afte
K12.1;Druge oblike stomatitisa
K12.2;Gnojna vnetja v ustih
K13;Druge bolezni ustnic in ustne sluznice
K13.0;Bolezni ustnic
K13.1;Grizenje v lica in ustnice
K13.2;Levkoplakija in druge motnje ustnega epitelija, vkljuèno jezika
K13.3;Dlakasta levkoplakija
K13.4;Granulomi in njim podobne spremembe ustne sluznice
K13.5;Submukozna fibroza ust
K13.6;Hiperplazija ustne sluznice zaradi draženja
K13.7;Druge in neopredeljene spremembe ustne sluznice
K14;Bolezni jezika
K14.0;Glositis
K14.1;Lingua geographica
K14.2;Glossitis mediana rhomboidea
K14.3;Hipertrofija jeziènih papil
K14.4;Atrofija jeziènih papil
K14.5;Razbrazdani jezik
K14.6;Glosodinija
K14.8;Druge bolezni jezika
K14.9;Bolezen jezika, neopredeljena
K20;Ezofagitis
K21;Gastroezofagealna refluksna bolezen
K21.0;Gastroezofagealna refluksna bolezen z ezofagitisom
K21.9;Gastroezofagealna refluksna bolezen brez ezofagitisa
K22;Druge bolezni požiralnika
K22.0;Ahalazija kardije
K22.1;Ulkus požiralnika
K22.2;Ezofagealna obstrukcija
K22.3;Perforacija požiralnika
K22.4;Diskinezija požiralnika
K22.5;Divertikel požiralnika, pridobljeni
K22.6;Gastroezofagealni laceracijsko-hemoragièni sindrom
K22.7;Barrettov požiralnik
K22.8;Druge opredeljene bolezni požiralnika
K22.9;Bolezen požiralnika, neopredeljena
K23;Motnje požiralnika pri boleznih, uvršèenih drugje
K23.0;Tuberkulozni ezofagitis (A18.8†)
K23.1;Megapožiralnik pri Chagasovi bolezni (B57.3†)
K23.8;Motnje požiralnika pri drugih boleznih, uvršèenih drugje
K25;Želodèni ulkus (ulcus ventriculi)
K25.0;Želodèni ulkus, akutni s hemoragijo
K25.1;Želodèni ulkus, akutni s perforacijo
K25.2;Želodèni ulkus, akutni s hemoragijo in perforacijo
K25.3;Želodèni ulkus, akutni brez hemoragije ali perforacije
K25.4;Želodèni ulkus, kronièni ali neopredeljeni s hemoragijo
K25.5;Želodèni ulkus, kronièni ali neopredeljeni s perforacijo
K25.6;Želodèni ulkus, kronièni ali neopredeljeni s hemoragijo in perforacijo
K25.7;Želodèni ulkus, kronièni brez hemoragije ali perforacije
K25.9;Želodèni ulkus, ki ni opredeljen kot akutni ali kronièni, brez hemoragije ali perforacije
K26;Duodenalni ulkus
K26.0;Duodenalni ulkus, akutni s hemoragijo
K26.1;Duodenalni ulkus, akutni s perforacijo
K26.2;Duodenalni ulkus, akutni s hemoragijo in perforacijo
K26.3;Duodenalni ulkus, akutni brez hemoragije ali perforacije
K26.4;Duodenalni ulkus, kronièni ali neopredeljeni s hemoragijo
K26.5;Duodenalni ulkus, kronièni ali neopredeljeni s perforacijo
K26.6;Duodenalni ulkus, kronièni ali neopredeljeni s hemoragijo in perforacijo
K26.7;Duodenalni ulkus, kronièni brez hemoragije ali perforacije
K26.9;Duodenalni ulkus, ki ni opredeljen kot akutni ali kronièni, brez hemoragije ali perforacije
K27;Peptièni ulkus, mesto neopredeljeno
K27.0;Peptièni ulkus, mesto neopredeljeno, akutni s hemoragijo
K27.1;Peptièni ulkus, mesto neopredeljeno, akutni s perforacijo
K27.2;Peptièni ulkus, mesto neopredeljeno, akutni s hemoragijo in perforacijo
K27.3;Peptièni ulkus, mesto neopredeljeno, akutni brez hemoragije ali perforacije
K27.4;Peptièni ulkus, mesto neopredeljeno, kronièni ali neopredeljeni s hemoragijo
K27.5;Peptièni ulkus, mesto neopredeljeno, kronièni ali neopredeljeni s perforacijo
K27.6;Peptièni ulkus, mesto neopredeljeno, kronièni ali neopredeljeni s hemoragijo in perforacijo
K27.7;Peptièni ulkus, mesto neopredeljeno, kronièni brez hemoragije ali perforacije
